"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21616","test_tv_home_theater_navigation","tests","2026-05-22","passed","2026-05-22","TestPositiveNegativeTC","test_positive_negative_tc","",""
"","57120","test_invalid_price_filter[500-100]","tests","2026-05-22","passed","2026-05-22","TestPositiveNegativeTC","test_positive_negative_tc","",""
"","41164","test_brand_filters","tests","2026-05-22","passed","2026-05-22","TestPositiveNegativeTC","test_positive_negative_tc","",""
"","14269","test_top_deals_navigation","tests","2026-05-22","passed","2026-05-22","TestPositiveNegativeTC","test_positive_negative_tc","",""
"","57388","test_invalid_price_filter[3276378-2397892]","tests","2026-05-22","passed","2026-05-22","TestPositiveNegativeTC","test_positive_negative_tc","",""
"","35663","test_invalid_brand_filter","tests","2026-05-22","passed","2026-05-22","TestPositiveNegativeTC","test_positive_negative_tc","",""
"Validate TV filtering, cart and checkout workflow","105345","Complete End-to-End BestBuy Workflow","tests","2026-05-22","passed","2026-05-22","TestBestBuyWorkflow","test_bestbuy_workflow","",""
"","102222","test_increase_product_quantity","tests","2026-05-22","passed","2026-05-22","TestPositiveNegativeTC","test_positive_negative_tc","",""
"","138854","test_invalid_email_checkout","tests","2026-05-22","passed","2026-05-22","TestPositiveNegativeTC","test_positive_negative_tc","",""
"","58832","test_price_filters","tests","2026-05-22","passed","2026-05-22","TestPositiveNegativeTC","test_positive_negative_tc","",""
